Wall time,Step,Value
1644275213.7604482,0,0.24536384642124176
1644275235.4783087,1,0.06032067537307739
1644275257.30853,2,0.028270309790968895
1644275279.0644596,3,0.01941615715622902
1644275300.8557472,4,0.015941327437758446
1644275322.5841367,5,0.013317855075001717
1644275344.2828588,6,0.011435702443122864
1644275365.9348028,7,0.010514198802411556
1644275387.557917,8,0.009735411033034325
1644275409.2092428,9,0.008593528531491756
1644275430.878148,10,0.007716377731412649
1644275452.65246,11,0.007338035386055708
1644275474.326969,12,0.006584963295608759
1644275495.9933252,13,0.00629635201767087
1644275517.606084,14,0.005672622937709093
1644275539.3359308,15,0.0054872906766831875
1644275561.0799925,16,0.005188106559216976
1644275582.7223232,17,0.004876717459410429
1644275604.341221,18,0.004513503983616829
1644275626.0974667,19,0.0043831802904605865
1644275647.7586432,20,0.004245620220899582
1644275669.4036949,21,0.004090209025889635
1644275691.0152903,22,0.003758465638384223
1644275712.6327229,23,0.0036440992262214422
1644275734.2503626,24,0.0034614780452102423
1644275755.9702528,25,0.0033659713808447123
1644275777.653357,26,0.0032012274023145437
1644275799.347709,27,0.0031267220620065928
1644275821.032711,28,0.003017973154783249
1644275842.7077258,29,0.0029502452816814184
1644275864.5436199,30,0.0029456799384206533
1644275886.1757653,31,0.0015280992956832051
1644275907.8653636,32,0.0011500976979732513
1644275929.576469,33,0.001014412147924304
1644275951.2360048,34,0.0009237395133823156
1644275972.8830864,35,0.0008665237692184746
1644275994.5676134,36,0.0008091515046544373
1644276016.2040508,37,0.0007731459918431938
1644276037.9605303,38,0.0007352678221650422
1644276059.6200266,39,0.0007043117075227201
1644276081.328674,40,0.0006779528921470046
1644276102.9631143,41,0.0006491030217148364
1644276124.6979795,42,0.0006300721433945
1644276146.3400605,43,0.000607372319791466
1644276168.1472788,44,0.0005875580245628953
1644276189.841071,45,0.000562440138310194
1644276211.5179558,46,0.0005455658538267016
1644276233.1843565,47,0.0005282976198941469
1644276254.8868852,48,0.0005189841031096876
1644276276.5729592,49,0.0004991890746168792
1644276298.1607306,50,0.0004818700545001775
1644276319.9601707,51,0.00046960698091425
1644276341.6221411,52,0.0004545517440419644
1644276363.370664,53,0.0004437286115717143
1644276385.0389204,54,0.0004262059519533068
1644276406.6970532,55,0.0004171024775132537
1644276428.4486556,56,0.0004027349059469998
1644276450.0631475,57,0.0003976981097366661
1644276471.8019724,58,0.0003880546719301492
1644276493.4501166,59,0.000376482552383095
1644276515.2419512,60,0.0003666130651254207
1644276536.8599699,61,0.00035778858000412583
1644276558.6359951,62,0.0003512362891342491
1644276580.2911966,63,0.00035018997732549906
1644276601.9603302,64,0.00033582522883079946
1644276623.6097775,65,0.00032597011886537075
1644276645.25057,66,0.00031835472327657044
1644276667.036707,67,0.0003104952338617295
1644276688.7082226,68,0.00030490368953906
1644276710.3821945,69,0.0002986812614835799
1644276732.112903,70,0.00029368841205723584
1644276753.7127802,71,0.00028442259645089507
1644276775.514802,72,0.00028093630680814385
1644276797.1644511,73,0.00027495698304846883
1644276818.8546653,74,0.00026838009944185615
1644276840.60067,75,0.00026345509104430676
1644276862.1811411,76,0.00025811890373006463
1644276883.9486802,77,0.00025233233463950455
1644276905.6490908,78,0.0002493977081030607
1644276927.375735,79,0.0002457783848512918
1644276949.0429423,80,0.0002409761946182698
1644276970.7065105,81,0.00023363405489362776
1644276992.45809,82,0.00023305497597903013
1644277014.1877308,83,0.00022676086518913507
1644277035.87323,84,0.00022534103482030332
1644277057.576993,85,0.00021952348470222205
1644277079.3153882,86,0.0002146334882127121
1644277101.0598311,87,0.00021422548161353916
1644277122.7177944,88,0.00020922700059600174
1644277144.358112,89,0.0002037451631622389
1644277165.994282,90,0.00020128472533542663
1644277187.6749804,91,0.00019839034939650446
1644277209.3760188,92,0.00019819734734483063
1644277231.0961826,93,0.00019256553787272424
1644277252.7570899,94,0.0001880726485978812
1644277274.3892837,95,0.00018615236331243068
1644277296.0801156,96,0.00018133716366719455
1644277317.7503307,97,0.0001813733542803675
1644277339.4895365,98,0.00017672815010882914
1644277361.7209513,99,0.00017374199524056166
