Wall time,Step,Value
1644273031.161079,0,0.19199706614017487
1644273053.0426521,1,0.04869206249713898
1644273074.755186,2,0.018313691020011902
1644273096.503051,3,0.012104849331080914
1644273118.2176225,4,0.008648046292364597
1644273139.960218,5,0.007370096631348133
1644273161.7452571,6,0.006000376306474209
1644273183.5154216,7,0.005320272408425808
1644273205.3746943,8,0.004760416224598885
1644273227.0986283,9,0.004195678513497114
1644273248.8567908,10,0.003725493559613824
1644273270.5276585,11,0.0034694592468440533
1644273292.3884072,12,0.003129418706521392
1644273314.2356696,13,0.0029836625326424837
1644273335.9713805,14,0.0028327894397079945
1644273357.7446675,15,0.002581436187028885
1644273379.394288,16,0.0023667938075959682
1644273401.1471524,17,0.0023750076070427895
1644273422.9330158,18,0.002145224018022418
1644273444.681615,19,0.002062139566987753
1644273466.5468283,20,0.002096668817102909
1644273488.256985,21,0.0018351365579292178
1644273510.0337563,22,0.0018543512560427189
1644273531.741661,23,0.0018379888497292995
1644273553.6903045,24,0.0007242014980874956
1644273575.417415,25,0.0005191572709009051
1644273597.1969328,26,0.00046124932123348117
1644273618.9994028,27,0.00042071263305842876
1644273640.9208891,28,0.00039676809683442116
1644273662.679956,29,0.000368480192264542
1644273684.4363112,30,0.000349385489244014
1644273706.2675147,31,0.00033110930235125124
1644273728.0567296,32,0.000318653677823022
1644273749.804989,33,0.00030349488952197134
1644273771.5677319,34,0.00029436586191877723
1644273793.33629,35,0.0002839617372956127
1644273815.088243,36,0.0002756109752226621
1644273837.153026,37,0.00026532489573583007
1644273858.9883215,38,0.0002577299310360104
1644273880.7521963,39,0.0002521924034226686
1644273902.4645603,40,0.00024376811052206904
1644273924.136264,41,0.00023811860592104495
1644273945.9659882,42,0.0002315917081432417
1644273967.8066564,43,0.00022629018349107355
1644273989.608686,44,0.00022196090139914304
1644274011.4618313,45,0.00021673020091839135
1644274033.3521552,46,0.0002103596634697169
1644274055.3004274,47,0.0002077752142213285
1644274077.092848,48,0.00020132766803726554
1644274098.8057554,49,0.00019737056572921574
1644274120.5859914,50,0.0001949464058270678
1644274142.4338355,51,0.00018915832333732396
1644274164.0705516,52,0.0001860195625340566
1644274185.829352,53,0.00018338060181122273
1644274207.636362,54,0.00017973987269215286
1644274229.4092014,55,0.00017527675663586706
1644274251.2600665,56,0.0001733184908516705
1644274272.9846253,57,0.00016985321417450905
1644274294.748597,58,0.0001672899816185236
1644274316.460903,59,0.00016393011901527643
1644274338.2162461,60,0.0001603712880751118
1644274360.3432574,61,0.0001592055632499978
1644274382.1489897,62,0.00015616657037753612
1644274403.8339744,63,0.0001520780351711437
1644274425.5894327,64,0.00015185015217866749
1644274447.3837948,65,0.00015082367463037372
1644274469.172683,66,0.00014711137919221073
1644274490.790758,67,0.00014467784785665572
1644274512.556264,68,0.0001415839942637831
1644274534.3097758,69,0.00013972519082017243
1644274556.0026963,70,0.00013871474948246032
1644274577.7768552,71,0.00013648008462041616
1644274599.6690307,72,0.0001360594033030793
1644274621.3906171,73,0.0001319964212598279
1644274643.0899875,74,0.00013144098920747638
1644274665.302287,75,0.0001278746931347996
1644274687.004035,76,0.00012664227688219398
1644274708.688415,77,0.00012602841889020056
1644274730.3865318,78,0.0001262261939700693
1644274752.1488044,79,0.00012205570965306833
1644274773.8804276,80,0.00012057516869390383
1644274795.5134706,81,0.00011834094766527414
1644274817.292168,82,0.00011751658166758716
1644274839.1240346,83,0.00011674207053147256
1644274860.896127,84,0.00011420937516959384
1644274882.5789046,85,0.00011305233783787116
1644274904.328574,86,0.00011352926958352327
1644274926.0391307,87,0.00011124752927571535
1644274947.9325302,88,0.00010872807615669444
1644274970.1576746,89,0.00010761575686046854
1644274991.9416704,90,0.00010643456334946677
1644275013.752827,91,0.00010576011845842004
1644275035.5172007,92,0.00010393251432105899
1644275057.2562768,93,0.00010395855497336015
1644275078.9498408,94,0.0001023028526105918
1644275100.5717516,95,0.00010013345308834687
1644275122.2501369,96,9.986650547944009e-05
1644275143.9372356,97,9.930055966833606e-05
1644275165.6487272,98,9.844786836765707e-05
1644275187.3671877,99,9.531523392070085e-05
